year,province,track,score,min_rank,max_rank,same_score_count,source_url,source_name
2023,上海,普通类,464,28320,28564,245,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,463,28565,28788,224,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,462,28789,29013,225,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,461,29014,29246,233,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,460,29247,29469,223,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,459,29470,29706,237,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,458,29707,29925,219,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,457,29926,30168,243,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,456,30169,30385,217,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,455,30386,30610,225,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,454,30611,30852,242,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,453,30853,31094,242,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,452,31095,31347,253,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,451,31348,31584,237,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,450,31585,31821,237,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,449,31822,32023,202,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,448,32024,32236,213,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,447,32237,32460,224,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,446,32461,32676,216,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,445,32677,32897,221,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,444,32898,33094,197,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,443,33095,33327,233,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,442,33328,33564,237,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
